ISO-3166-1;Region
ABW;W. Europe
AFG;Middle East, North Africa
AGO;Subsaharan Africa
AIA;Common Wealth
ALB;E. Europe
AND;W. Europe
ARE;Middle East, North Africa
ARG;Latin America
ARM;E. Europe
ATG;Carribean
AUS;Common Wealth
AUT;W. Europe
AZE;E. Europe
BDI;Subsaharan Africa
BDS;Latin America
BEL;W. Europe
BEN;Subsaharan Africa
BFA;Subsaharan Africa
BGD;Asia
BGR;E. Europe
BHR;Middle East, North Africa
BHS;Common Wealth
BIH;E. Europe
BLM;W. Europe
BLR;E. Europe
BLZ;Latin America
BMU;Common Wealth
BOL;Latin America
BRA;Latin America
BRU;Asia
BTN;Asia
BWA;Subsaharan Africa
CAF;Subsaharan Africa
CAN;Common Wealth
CCK;Common Wealth
CHE;W. Europe
CHL;Latin America
CHN;Asia
CIV;Subsaharan Africa
CMR;Subsaharan Africa
COD;Subsaharan Africa
COD;Subsaharan Africa
COK;Common Wealth
COL;Latin America
COM;Subsaharan Africa
CPV;Subsaharan Africa
CRI;Latin America
CUB;Carribean
CUW;W. Europe
CXR;Common Wealth
CYM;Common Wealth
CYP;W. Europe
CZE;C. Europe
DEU;W. Europe
DJI;Subsaharan Africa
DMA;Latin America
DNK;W. Europe
DOM;Carribean
DZA;Middle East, North Africa
ECU;Latin America
EGY;Middle East, North Africa
ERI;Subsaharan Africa
ESH;Subsaharan Africa
ESP;W. Europe
EST;E. Europe
ETH;Subsaharan Africa
FIN;W. Europe
FJI;Oceania
FLK;Common Wealth
FRA;W. Europe
FRO;W. Europe
FSM;Oceania
GAB;Subsaharan Africa
GBR;Common Wealth
GBZ;Common Wealth
GCA;Latin America
GEO;E. Europe
GGY;Common Wealth
GHA;Subsaharan Africa
GIN;Subsaharan Africa
GNB;Subsaharan Africa
GNQ;Subsaharan Africa
GRC;W. Europe
GRD;Latin America
GRL;W. Europe
GUM;USA
GUY;Latin America
HKG;Asia
HND;Latin America
HRV;E. Europe
HTI;Carribean
HUN;C. Europe
IDN;Asia
IMN;Common Wealth
IND;Asia
IRL;W. Europe
IRN;Middle East, North Africa
IRQ;Middle East, North Africa
ISL;W. Europe
ISR;Israel
ITA;W. Europe
JAM;Subsaharan Africa
JEY;Common Wealth
JOR;Middle East, North Africa
JPN;Asia
KAZ;E. Europe
KEN;Subsaharan Africa
KGZ;E. Europe
KHM;Asia
KNA;Common Wealth
KOR;Asia
KWT;Middle East, North Africa
LAO;Asia
LBN;Middle East, North Africa
LBR;Subsaharan Africa
LBY;Middle East, North Africa
LCA;Latin America
LIE;W. Europe
LKA;Asia
LSO;Subsaharan Africa
LTU;E. Europe
LUX;W. Europe
LVA;E. Europe
MAC;Asia
MAF;W. Europe
MAR;Middle East, North Africa
MCO;W. Europe
MDA;E. Europe
MDG;Subsaharan Africa
MDV;Asia
MEX;Latin America
MHL;USA
MKD;E. Europe
MLI;Subsaharan Africa
MLT;W. Europe
MMR;Asia
MNE;E. Europe
MNG;Asia
MNP;USA
MOZ;Subsaharan Africa
MRT;Subsaharan Africa
MSR;Common Wealth
MUS;Subsaharan Africa
MWI;Subsaharan Africa
MYS;Asia
NAM;Subsaharan Africa
NCL;W. Europe
NER;Subsaharan Africa
NFK;Common Wealth
NGA;Subsaharan Africa
NIC;Latin America
NIU;Common Wealth
NLD;W. Europe
NOR;W. Europe
NPL;Middle East, North Africa
NRU;
NZL;Common Wealth
OMN;Middle East, North Africa
PAK;Asia
PAN;Latin America
PCN;Common Wealth
PER;Latin America
PHL;Asia
PLW;Asia
PNG;Subsaharan Africa
POL;C. Europe
PRI;USA
PRK;Asia
PRT;W. Europe
PRY;Latin America
PSE;Middle East, North Africa
PYF;W. Europe
QAT;Middle East, North Africa
ROU;E. Europe
RUS;E. Europe
RWA;Subsaharan Africa
SAU;Middle East, North Africa
SDN;Subsaharan Africa
SEN;Subsaharan Africa
SGP;Asia
SHN;Common Wealth
SLB;Oceania
SLE;Subsaharan Africa
SLV;Latin America
SMR;W. Europe
SOM;Subsaharan Africa
SPM;W. Europe
SRB;E. Europe
SSD;Subsaharan Africa
STP;Subsaharan Africa
SUR;Asia
SVK;C. Europe
SVN;E. Europe
SWE;W. Europe
SWZ;Subsaharan Africa
SXM;W. Europe
SYC;Subsaharan Africa
SYR;Middle East, North Africa
TCA;Common Wealth
TCD;Subsaharan Africa
TGO;Subsaharan Africa
THA;Asia
TJK;Asia
TKL;Common Wealth
TKM;E. Europe
TLS;Asia
TON;
TTO;Latin America
TUN;Middle East, North Africa
TUR;Middle East, North Africa
TUV;
TWN;Asia
TZA;Subsaharan Africa
UGA;Subsaharan Africa
UKR;E. Europe
URY;Latin America
USA;USA
UZB;E. Europe
VAT;W. Europe
VCT;Carribean
VEN;Latin America
VGB;Common Wealth
VIR;USA
VNM;Asia
VUT;Oceania
WAG;Subsaharan Africa
WLF;W. Europe
WSM;USA
WSM;
YEM;Middle East, North Africa
ZAF;Subsaharan Africa
ZMB;Subsaharan Africa
ZWE;Subsaharan Africa
